file,lang,tags,chars_expected,description
001.jpg,jp,clean,45,日本語クリーンテキスト（基本性能測定）
002.png,jp,clean-dense,312,日本語密集テキスト（大量文字処理）
003.jpg,jp,small,89,小フォント日本語（視認性限界測定）
004.png,jp,large,156,大フォント日本語（レイアウト処理）
005.jpg,jp,lowcontrast,203,低コントラスト日本語（認識困難度測定）
006.png,jp,invert-small,78,反転小フォント（特殊条件組み合わせ）
007.jpg,jp,tilt2,167,2度傾斜日本語（回転耐性測定）
008.png,jp,mono-code,245,等幅表・日本語（構造保持測定）
009.jpg,en,clean,52,英語クリーンテキスト（多言語切替測定）
010.png,en,mono-code,189,英語コード・URL（構造・記号保持）
011.jpg,mix,clean,198,日英混在クリーンテキスト（混合言語）
012.png,mix,lowcontrast-dense,387,日英混在低コントラスト密集（最高難易度）
